254,50245,"Jesus Garcia Lovera ""El Pilar""",Toluca,Mexico
255,50245,Campo Real,Toluca,Mexico
256,50245,Los Heroes I,Toluca,Mexico
257,50245,Hacienda La Galia,Toluca,Mexico
258,50245,Maria Bonita,Toluca,Mexico
259,50245,Sor Juana Ines de la Cruz,Toluca,Mexico
260,50245,San Jeronimo,Toluca,Mexico
261,50245,San Antonio Abad,Toluca,Mexico
262,50245,Campo Real I,Toluca,Mexico
263,50245,Campo Real II,Toluca,Mexico
264,50245,Campo Real III,Toluca,Mexico
265,50245,Las Bugambilias,Toluca,Mexico
266,50245,Residencial la Joya,Toluca,Mexico
267,50245,La Alameda,Toluca,Mexico
268,50246,El Coecillo,Toluca,Mexico
269,50246,Los Heroes III,Toluca,Mexico
270,50246,Los Heroes II,Toluca,Mexico
271,50250,Las Palomas,Toluca,Mexico
272,50250,San Felipe Tlalmimilolpan,Toluca,Mexico
273,50250,Santa Juanita,Toluca,Mexico
274,50250,La Curva,Toluca,Mexico
275,50250,La Cañada,Toluca,Mexico
276,50250,Las Margaritas,Toluca,Mexico
277,50250,Rancho de Maya,Toluca,Mexico
278,50250,La Loma Residencial,Toluca,Mexico
279,50253,Jardines de San Pedro,Toluca,Mexico
280,50253,Dos Rios,Toluca,Mexico
281,50253,Los alamos,Toluca,Mexico
282,50253,El Calvario,Toluca,Mexico
283,50253,La Comunidad,Toluca,Mexico
284,50254,Del Panteon,Toluca,Mexico
285,50254,Loma Bonita,Toluca,Mexico
286,50254,Tlala,Toluca,Mexico
287,50254,La Venta,Toluca,Mexico
288,50254,El Mogote,Toluca,Mexico
289,50254,El Fronton,Toluca,Mexico
290,50254,El Mirador,Toluca,Mexico
291,50254,Balcones de San Felipe,Toluca,Mexico
292,50255,El Refugio,Toluca,Mexico
293,50255,Santiago Tlacotepec,Toluca,Mexico
294,50255,San Juan Tilapa Centro,Toluca,Mexico
295,50255,El Durazno,Toluca,Mexico
296,50255,Vista Hermosa,Toluca,Mexico
297,50255,Cristo Rey,Toluca,Mexico
298,50255,Linda Vista,Toluca,Mexico
299,50255,Paraje Tlalmimilolpan,Toluca,Mexico
300,50255,Loma Bonita,Toluca,Mexico
301,50255,Los Pajaritos,Toluca,Mexico
302,50255,Santiago Tlacotepec Centro,Toluca,Mexico
303,50255,El Mirador,Toluca,Mexico
304,50255,Santa Maria,Toluca,Mexico
305,50255,Guadalupe,Toluca,Mexico
306,50256,Las Palmas,Toluca,Mexico
307,50256,Agua Bendita,Toluca,Mexico
308,50256,Las Barraanquitas,Toluca,Mexico
309,50256,El Canal,Toluca,Mexico
310,50256,El Calvario,Toluca,Mexico
311,50257,La Joya,Toluca,Mexico
312,50257,La Joya,Toluca,Mexico
313,50257,El Cruzado,Toluca,Mexico
314,50257,Benito Juarez,Toluca,Mexico
315,50257,Tollocan,Toluca,Mexico
316,50257,La Joya de Ignacio Esquivel,Toluca,Mexico
317,50257,Apilulco,Toluca,Mexico
318,50257,Loma Bonita,Toluca,Mexico
319,50258,Acuxtitla,Toluca,Mexico
320,50258,El Chamizal,Toluca,Mexico
321,50258,Tilapa,Toluca,Mexico
322,50258,El Mostrante,Toluca,Mexico
323,50258,La Cruz,Toluca,Mexico
324,50258,Puxinco,Toluca,Mexico
325,50258,El Rosario,Toluca,Mexico
326,50258,Guadalupe,Toluca,Mexico
327,50258,Rancho Buenavista,Toluca,Mexico
328,50258,Paraje el Ocote,Toluca,Mexico
329,50260,Atenea,Toluca,Mexico
330,50260,Miramonte,Toluca,Mexico
331,50260,La Rivera,Toluca,Mexico
332,50260,Paseos del Valle,Toluca,Mexico
333,50260,El Pacifico,Toluca,Mexico
334,50260,La Era,Toluca,Mexico
335,50260,Capultitlan Centro,Toluca,Mexico
336,50260,Villas Fontana,Toluca,Mexico
337,50260,Villas Santa Esther,Toluca,Mexico
338,50260,Alejandria,Toluca,Mexico
339,50263,Los Pinos,Toluca,Mexico
340,50263,San Juan Apostol,Toluca,Mexico
341,50263,De Cristo Rey,Toluca,Mexico
342,50263,De la Cruz,Toluca,Mexico
343,50263,La Virgen de Guadalupe,Toluca,Mexico
344,50263,San Isidro Labrador,Toluca,Mexico
345,50263,Del Espiritu Santo,Toluca,Mexico
346,50263,La Santisima Trinidad,Toluca,Mexico
347,50264,La Soledad,Toluca,Mexico
348,50264,San Jose,Toluca,Mexico
349,50264,San Felipe de Jesus,Toluca,Mexico
350,50264,San Judas Tadeo,Toluca,Mexico
351,50264,Las Palmas,Toluca,Mexico
352,50264,San Pablo,Toluca,Mexico
353,50265,San Miguel Zacango,Toluca,Mexico
354,50265,Del Panteon,Toluca,Mexico
355,50265,Guadalupe,Toluca,Mexico
356,50265,Sixto Noguez,Toluca,Mexico
357,50265,La Loma,Toluca,Mexico
358,50265,Cacalomacan Centro,Toluca,Mexico
359,50265,La Palma,Toluca,Mexico
360,50265,La Capilla,Toluca,Mexico
361,50265,Sagrado Corazon de Jesus,Toluca,Mexico
362,50265,Tierra Coloradas,Toluca,Mexico
363,50265,San Pedro,Toluca,Mexico
364,50265,El Chorrito,Toluca,Mexico
365,50265,Del Campo,Toluca,Mexico
366,50265,Las Palomas,Toluca,Mexico
367,50265,Sor Juana Ines de la Cruz,Toluca,Mexico
368,50266,San Antonio Buenavista,Toluca,Mexico
369,50270,Tecaxic,Toluca,Mexico
370,50270,Tepetongo,Toluca,Mexico
371,50273,San Pablo,Toluca,Mexico
372,50273,Buenavista,Toluca,Mexico
373,50274,Tlalnepantla,Toluca,Mexico
374,50274,Pueblo Nuevo (Serraton),Toluca,Mexico
375,50274,El Pedregal,Toluca,Mexico
376,50280,Santiago Tlaxomulco Centro,Toluca,Mexico
377,50280,Calixtlahuaca,Toluca,Mexico
378,50283,El Pozo Blanco,Toluca,Mexico
379,50283,La Pena,Toluca,Mexico
380,50283,Los Cipreses,Toluca,Mexico
381,50284,Los Pocitos,Toluca,Mexico
382,50284,El Calvario,Toluca,Mexico
383,50284,Tenojo,Toluca,Mexico
384,50285,Las Bugambilias,Toluca,Mexico
385,50285,San Martin Toltepec,Toluca,Mexico
386,50285,La Palma Toltepec,Toluca,Mexico
387,50285,Palmillas,Toluca,Mexico
388,50285,Ojo de Agua,Toluca,Mexico
389,50285,San Marcos Yachihuacaltepec,Toluca,Mexico
390,50285,Zimbrones,Toluca,Mexico
391,50285,2 de Marzo,Toluca,Mexico
392,50285,Junta Local de Caminos,Toluca,Mexico
393,50285,San Marcos Yachihuacaltepec,Toluca,Mexico
394,50285,Lazaro Cardenas,Toluca,Mexico
395,50285,San Isidro,Toluca,Mexico
396,50285,Paseos San Martin,Toluca,Mexico
397,50285,Almoloya de Juarez,Toluca,Mexico
398,50286,El Tepetate,Toluca,Mexico
399,50286,El Calvario,Toluca,Mexico
400,50286,La Pena,Toluca,Mexico
401,50290,Ejido Santa Cruz Atzcapotzaltongo,Toluca,Mexico
402,50290,La Vega,Toluca,Mexico
403,50290,San Pablo Autopan,Toluca,Mexico
404,50290,Jicaltepec Autopan,Toluca,Mexico
405,50290,Bordo Nuevo,Toluca,Mexico
406,50290,El Cerro del Perico,Toluca,Mexico
407,50290,De Jesus 1da. Seccion,Toluca,Mexico
408,50290,Contracaja,Toluca,Mexico
409,50290,De Jesus 2da. Seccion,Toluca,Mexico
410,50290,Del Pozo,Toluca,Mexico
411,50290,El Cerrito,Toluca,Mexico
412,50290,Tejocote,Toluca,Mexico
413,50290,Alcaltunco,Toluca,Mexico
414,50290,Tanamato,Toluca,Mexico
415,50290,Chupascliya,Toluca,Mexico
416,50290,Chichipicas,Toluca,Mexico
417,50290,Santa Cruz Atzcapotzaltongo,Toluca,Mexico
418,50290,La Granja,Toluca,Mexico
419,50290,Villas los angeles,Toluca,Mexico
420,50293,Parque industrial Toluca,Toluca,Mexico
421,50294,De Jesus 3a. Seccion,Toluca,Mexico
422,50294,De Santa Cruz,Toluca,Mexico
423,50294,De Pueblo Nuevo,Toluca,Mexico
424,50294,De Santa Maria,Toluca,Mexico
425,50294,Tlachaloya,Toluca,Mexico
426,50295,Parque Industrial San Cayetano,Toluca,Mexico
427,50295,San Cayetano Morelos,Toluca,Mexico
428,50295,Tlachaloya,Toluca,Mexico
429,50295,San Carlos,Toluca,Mexico
430,50295,San Carlos Autopan,Toluca,Mexico
431,50295,San Jose la Costa,Toluca,Mexico
432,50295,Sebastian Lerdo de Tejada,Toluca,Mexico
